model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,train_rows,test_rows,target_0,target_1
Random Forest,0.9996592264440279,0.9990990990990991,0.9990990990990991,0.9990990990990991,0.99999962139067,23476,5869,23794,5551
Logistic Regression,0.9953995569943772,0.9813333333333333,0.9945945945945946,0.9879194630872483,0.9982275404212786,23476,5869,23794,5551
Naive Bayes,0.8756176520701994,0.6074660633484162,0.9675675675675676,0.7463516330785267,0.9600980787469544,23476,5869,23794,5551
Baseline Classifier,0.8108706764355086,0.0,0.0,0.0,0.5,23476,5869,23794,5551
